Date,Open,High,Low,Close,Volume,Currency,USD-BRL,USD-CLP,USD-EUR,Volume_USD-BRL,Volume_USD-CLP,Volume_USD-EUR
6/5/2020,98.55,99.75,97.05,98.9,16818,USD,4.965428,766.625041,0.885665,83508.5681,12893099.94,14895.11397
6/8/2020,99.25,99.65,97.55,98.9,26561,USD,4.823096,767.612991,0.884545,128106.2529,20388568.65,23494.39975
6/9/2020,99.2,99.45,97.25,97.8,22764,USD,4.8999,769.897055,0.882465,111541.3236,17525936.56,20088.43326
6/10/2020,97.9,98.65,96.4,96.75,24680,USD,4.9737,773.49855,0.879885,122750.916,19089944.21,21715.5618
6/11/2020,96.2,97.65,94.6,96,27278,USD,4.976501,792.8029,0.885915,135748.9943,21626077.51,24165.98937
6/12/2020,96.35,97.8,94.9,95.2,18281,USD,5.049304,792.203912,0.888324,92306.32642,14482279.72,16239.45104
6/15/2020,94.2,95.25,92.7,94,22016,USD,5.156124,783.301816,0.882035,113517.226,17245172.78,19418.88256
6/16/2020,94.65,95.45,92.75,93.65,11584,USD,5.245104,784.29757,0.88768,60759.28474,9085303.051,10282.88512
6/17/2020,93.25,96.8,93.15,96.25,12234,USD,5.2294,801.597997,0.88948,63976.4796,9806749.895,10881.89832
6/18/2020,97,97.05,94.4,94.6,16437,USD,5.378696,817.499526,0.8921,88409.62615,13437239.71,14663.4477
6/19/2020,94.3,95.3,93.45,93.75,15815,USD,5.31147,817.303912,0.894494,84000.89805,12925661.37,14146.42261
6/22/2020,94.05,96.1,94,95.95,266,USD,5.253397,819.703622,0.88658,1397.403602,218041.1635,235.83028
6/23/2020,96.25,97.55,95.75,96.25,30,USD,5.152601,819.198148,0.884015,154.57803,24575.94444,26.52045
6/24/2020,96.25,97.1,96.25,96.65,34,USD,5.348097,819.099946,0.88885,181.835298,27849.39816,30.2209
6/25/2020,96.65,97.1,94.55,94.85,45,USD,5.360997,809.093302,0.891197,241.244865,36409.19859,40.103865
6/26/2020,95.6,95.6,93.45,95.65,19,USD,5.479041,821.503912,0.891381,104.101779,15608.57433,16.936239
6/29/2020,100.45,101.45,98.45,98.65,16,USD,5.403602,821.497406,0.88914,86.457632,13143.9585,14.22624
6/30/2020,100.35,100.35,99.5,100.05,7,USD,5.463201,822.802664,0.890098,38.242407,5759.618648,6.230686
7/1/2020,102.8,102.8,102.05,103.05,4,USD,5.317702,808.615336,0.88881,21.270808,3234.461344,3.55524
7/2/2020,104.38,104.6,102.53,102.25,0,USD,5.360396,801.101052,0.88988,0,0,0
7/6/2020,97.35,97.35,97.35,97.2,47,USD,5.355803,799.402424,0.883975,251.722741,37571.91393,41.546825
7/7/2020,97.88,100.7,97.35,99.25,0,USD,5.379299,789.504341,0.886931,0,0,0
7/8/2020,100.48,102.23,99.63,98.95,0,USD,5.3441,786.901613,0.881987,0,0,0
7/9/2020,100.03,100.8,98.33,97.7,0,USD,5.339301,788.597835,0.885925,0,0,0
7/10/2020,96.8,96.95,95.45,96.15,4,USD,5.328354,792.403912,0.885348,21.313416,3169.615648,3.541392
7/13/2020,97.03,98.88,96.58,97.4,0,USD,5.402981,789.699785,0.881415,0,0,0
7/14/2020,98.65,98.7,96.83,96.7,0,USD,5.368301,786.502594,0.876395,0,0,0
7/15/2020,98.03,98.2,96.33,95.95,0,USD,5.370175,782.198398,0.875875,0,0,0
7/16/2020,96.9,98.8,96.78,97.1,0,USD,5.332202,789.407104,0.877899,0,0,0
7/17/2020,98.45,102.5,98.45,101.05,0,USD,5.38681,787.803912,0.875048,0,0,0
7/20/2020,101.58,102.85,99.08,98.5,0,USD,5.3292,786.197294,0.872799,0,0,0
7/21/2020,99.53,101.9,99.53,100.5,0,USD,5.171297,771.603984,0.867025,0,0,0
7/22/2020,101.75,108.75,101.25,108.35,32829,USD,5.119601,767.897463,0.864494,168071.3812,25209305.81,28380.47353
7/23/2020,108.1,109.3,106.15,107.5,24990,USD,5.212099,770.400028,0.862385,130250.354,19252296.7,21551.00115
7/24/2020,106.95,109.1,106.35,108.4,22539,USD,5.23055,774.203912,0.857924,117891.3665,17449781.97,19336.74904
7/27/2020,107.9,110.75,107.4,110.4,25735,USD,5.144821,768.410149,0.849695,132401.9684,19775035.18,21866.90083
7/28/2020,110.35,111.35,108.35,109.65,18617,USD,5.153804,766.301649,0.853355,95948.36907,14266237.8,15886.91003
7/29/2020,109.4,112.6,109.3,111.6,24211,USD,5.170303,757.393234,0.848715,125178.2059,18337247.59,20548.23887
7/30/2020,112.45,117.4,112.2,115.35,34126,USD,5.155399,761.502537,0.842325,175933.1463,25987035.58,28745.18295
7/31/2020,116.4,119.4,115.2,118.95,34771,USD,5.22265,756.703912,0.848983,181596.7631,26311351.72,29519.98789
8/3/2020,118.2,119.7,115.65,117.9,28190,USD,5.320195,757.702189,0.850201,149976.2971,21359624.71,23967.16619
8/4/2020,116.9,121.25,116.65,121.05,29406,USD,5.291698,771.705864,0.846375,155607.6714,22692782.64,24888.50325
8/5/2020,120.75,127.25,120.45,121.55,36843,USD,5.2924,777.399416,0.842285,194987.8932,28641726.68,31032.30626
8/6/2020,122,124.2,116.45,117,28501,USD,5.332796,773.498491,0.842101,151990.0188,22045480.49,24000.7206
8/7/2020,117.3,118.8,113.6,115.45,29392,USD,5.437325,788.803912,0.848526,159813.8564,23184524.58,24939.87619
8/10/2020,115.05,117.15,111.6,112.6,22719,USD,5.48202,805.99994,0.851975,124546.0124,18311512.64,19356.02003
8/11/2020,112,112.55,109.7,111.35,28553,USD,5.381894,794.486017,0.852065,153669.2194,22684959.24,24329.01195
8/12/2020,111.35,113.8,110.35,112.05,22667,USD,5.436501,792.300796,0.847907,123229.1682,17959082.14,19219.50797
8/13/2020,112.4,117.15,111.15,116.2,20874,USD,5.368502,793.502706,0.846295,112062.1107,16563575.49,17665.56183
8/14/2020,116.65,119.2,114.45,114.7,15520,USD,5.422278,797.603912,0.84442,84153.75456,12378812.71,13105.3984
8/17/2020,114.6,115.65,112.7,115.55,6996,USD,5.509801,807.703552,0.842098,38546.5678,5650694.05,5891.317608
8/18/2020,115.65,119.75,115.65,119.3,7201,USD,5.466903,794.703759,0.836995,39367.1685,5722661.769,6027.200995
8/19/2020,119.5,122.2,116.75,118.45,9248,USD,5.557905,784.385792,0.844352,51399.50544,7253999.804,7808.567296
8/20/2020,118,119.95,117,118.55,7088,USD,5.557397,786.398139,0.84235,39390.82994,5573990.009,5970.5768
8/21/2020,119.65,120.4,116.5,120.1,245,USD,5.620075,793.103912,0.847781,1376.918375,194310.4584,207.706345
8/24/2020,120.4,122.6,119.45,120.25,119,USD,5.612099,785.999807,0.847875,667.839781,93533.97703,100.897125
8/25/2020,120.5,123.8,120,123.2,55,USD,5.508895,787.099323,0.844975,302.989225,43290.46277,46.473625
8/26/2020,125.5,127.6,122,122.8,72,USD,5.608703,784.585792,0.8445,403.826616,56490.17702,60.804
8/27/2020,121.35,123.25,121,122.95,13,USD,5.570198,784.399135,0.846075,72.412574,10197.18876,10.998975
8/28/2020,123.6,127.1,123.6,127.1,54,USD,5.39145,779.503912,0.83998,291.1383,42093.21125,45.35892
8/31/2020,129.05,130.8,127.15,129.8,56,USD,5.492397,776.341137,0.837615,307.574232,43475.10367,46.90644
9/1/2020,132.25,132.3,130.8,131.9,22,USD,5.398801,771.309376,0.838725,118.773622,16968.80627,18.45195
9/2/2020,130.95,131.05,130,131.5,41,USD,5.3406,771.403799,0.844095,218.9646,31627.55576,34.607895
9/3/2020,131.3,131.3,131,131.6,11,USD,5.2914,775.803924,0.844635,58.2054,8533.843164,9.290985
9/4/2020,131.2,134.5,131.2,134.8,45,USD,5.302504,771.503912,0.844691,238.61268,34717.67604,38.011095
9/8/2020,129,129.55,128.25,132.8,17,USD,5.362098,773.000168,0.849701,91.155666,13141.00286,14.444917
9/9/2020,131.15,131.4,130.4,129.65,15,USD,5.31038,766.602768,0.847105,79.6557,11499.04152,12.706575
9/10/2020,127.73,133.45,127.7,132.5,0,USD,5.32206,773.099001,0.845735,0,0,0
9/11/2020,130.65,132.55,129.38,133.35,0,USD,5.317704,769.903912,0.84406,0,0,0
9/14/2020,128.15,128.65,124.15,123.55,118,USD,5.2698,765.306597,0.842567,621.8364,90306.17845,99.422906
9/15/2020,122.38,122.97,115.85,122.2,0,USD,5.275806,763.292693,0.844305,0,0,0
9/16/2020,123.85,123.85,120.7,120.55,8,USD,5.237498,760.298283,0.847235,41.899984,6082.386264,6.77788
9/17/2020,119.9,119.9,118.7,118.1,24,USD,5.239302,761.198972,0.844035,125.743248,18268.77533,20.25684
9/18/2020,118.35,118.35,115.75,113.6,3,USD,5.391304,763.303912,0.84457,16.173912,2289.911736,2.53371
9/21/2020,113,113.45,110.8,112,32467,USD,5.414101,774.498985,0.84987,175779.6172,25145658.55,27592.72929
9/22/2020,112.55,114.8,110.35,110.65,22525,USD,5.471398,777.237889,0.854115,123243.2399,17507283.45,19238.94038
9/23/2020,110.8,112.6,109.05,110.5,24425,USD,5.593904,783.29766,0.857765,136631.1052,19132045.35,20950.91013
9/24/2020,110.75,112.1,110.25,111.15,17432,USD,5.509905,783.297632,0.856685,96048.66396,13654444.32,14933.73292
9/25/2020,111.75,114.3,110.85,113.65,18236,USD,5.56135,788.103912,0.85978,101416.7786,14371862.94,15678.94808
9/28/2020,113.8,114.75,108.7,109.55,21447,USD,5.6617,784.59797,0.85627,121426.4799,16827272.66,18364.42269
9/29/2020,109.1,110.4,108.3,109.55,21158,USD,5.63205,784.600812,0.851665,119162.9139,16600583.98,18019.52807
9/30/2020,110.25,112.75,109.4,110.95,21064,USD,5.609901,785.097209,0.852899,118166.9547,16537287.61,17965.46454
10/1/2020,110.95,111.6,106.4,107.05,27641,USD,5.643498,787.098074,0.851455,155991.9282,21756177.86,23535.06766
10/2/2020,106.5,110,104.9,108.95,23163,USD,5.683104,789.603912,0.853479,131637.738,18289595.41,19769.13408
10/5/2020,108.65,109.7,106.6,107.2,19938,USD,5.57495,798.706766,0.848098,111153.3531,15924615.5,16909.37792
10/6/2020,107.5,109.4,107.1,107.65,15255,USD,5.595303,798.708288,0.851985,85356.34727,12184294.93,12997.03118
10/7/2020,107.7,111,106.2,109.6,20419,USD,5.612795,794.598196,0.849717,114607.6611,16224900.56,17350.37142
10/8/2020,110.15,112.15,107.9,110.25,18260,USD,5.600101,798.59516,0.849943,102257.8443,14582347.62,15519.95918
10/9/2020,110.25,112.45,110.25,111.55,15764,USD,5.530502,794.703912,0.845359,87182.83353,12527712.47,13326.23928
10/12/2020,111,113.35,108.55,109.15,15910,USD,5.531199,796.999694,0.846399,88001.37609,12680265.13,13466.20809
10/13/2020,109.3,111.15,108.7,110.1,14789,USD,5.569895,798.902763,0.851655,82373.17716,11814972.96,12595.12579
10/14/2020,110.05,111.7,109.2,109.6,14046,USD,5.59199,798.806766,0.851525,78545.09154,11220039.84,11960.52015
10/15/2020,109.55,111.35,106.5,109.5,22363,USD,5.612699,804.102075,0.854205,125516.7877,17982134.7,19102.58642
10/16/2020,109.65,111.1,106.85,107.25,14716,USD,5.648385,793.503912,0.853607,83121.63366,11677203.57,12561.68061
10/19/2020,106.55,108.65,105.6,106.05,16873,USD,5.607097,787.603528,0.849803,94608.54768,13289234.33,14338.72602
10/20/2020,107.05,107.25,104,104.9,17967,USD,5.605698,785.999645,0.845345,100717.576,14122055.62,15188.31362
10/21/2020,104.8,106.85,103.35,104.15,15757,USD,5.609303,783.000011,0.843703,88385.78737,12337731.17,13294.22817
10/22/2020,103.7,107.45,103.2,106.7,22411,USD,5.5928,778.793621,0.846405,125340.2408,17453543.84,18968.78246
10/23/2020,106.4,107,104.75,105.6,11995,USD,5.619251,775.703912,0.843149,67402.91575,9304568.424,10113.57226
10/26/2020,104.8,107.15,104.3,106.65,14411,USD,5.624098,775.30203,0.8467,81048.87628,11172877.55,12201.7937
10/27/2020,106.75,108.2,106.15,106.95,16380,USD,5.7062,772.999656,0.848745,93467.556,12661734.37,13902.4431
10/28/2020,106.45,106.65,104.65,105,15333,USD,5.746398,773.599271,0.851165,88109.52053,11861597.62,13050.91295
10/29/2020,105,105.2,102.95,104.6,16287,USD,5.779302,772.000137,0.856396,94127.49167,12573566.23,13948.12165
